PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40623886,"Platinum and etoposide chemotherapy, durvalumab with thoracic radiotherapy in the first-line treatment of patients with extensive-stage small-cell lung cancer: CHEST-RT (TROG 20.01) Trial - protocol for a phase II study.",2025,Sagun Parakh; Harriet Gee; Courtney Wheeler; Bridget Rooney; Rebecca Montgomery; Susan Harden; Laurel Schmidt,"St George Cancer Care Centre, Kogarah, Sydney, Australia.; Olivia Newton-John Cancer Centre at Austin Health, Heidelberg, Victoria, Australia.; Trans Tasman Radiation Oncology Group, Waratah, New South Wales, Australia.; Radiation Oncology Network, Western Sydney Local Health District, Sydney, New South Wales, Australia.; Radiation Oncology, Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia.",Not found
40623718,"Authors response to ""Letter to the Editor"": ""Tumor mutational burden and survival on immune checkpoint inhibition in >8000 patients across 24 cancer types"".",2025,Ryon P Graf,"Foundation Medicine Inc, San Diego, California, USA rgraf@foundationmedicine.com.",rgraf@foundationmedicine.com.
40623716,Precision targeting of rhabdomyosarcoma by combining primary CAR NK cells and radiotherapy.,2025,Florian Rothweiler; Jindrich Cinatl; Martin Michaelis,"Dr Petra Joh-Haus, Frankfurter Stiftung für krebskranke Kinder, Frankfurt (Main), Germany.",Not found
40623177,Common inherited loss-of-function mutations in the innate sensor NOD2 contribute to exceptional immune response to cancer immunotherapy.,2025,Zia Khan; Jeffrey Bruce; Cindy Yang; Stephenie Prokopec; Trevor Pugh; Thomas John; Geoffrey Peters,"Peter MacCallum Cancer Centre, Melbourne, VIC 3000, Australia.; Genentech, South San Francisco, CA 94080-4990.; Canberra Region Cancer Centre, Garran, ACT 2605, Australia.; Princess Margaret Cancer Centre, Toronto, ON M5G 2M9, Canada.",Not found
40623115,Passive immunotherapy for adults hospitalized with COVID-19: An individual participant data meta-analysis of six randomized controlled trials.,2025,J Scott Overcash; Hassan Taha,"Stormont Vail Health, Vail, Colorado, United States of America.; Velocity Clinical Research, San Diego, California, United States of America.",Not found
40622715,Multilevel Intervention and Human Papillomavirus Vaccination Disparities: A Secondary Analysis of a Cluster Randomized Trial.,2025,Wei Yi Kong; Lila J Finney Rutten; Jennifer L St Sauver; Gregory D Jenkins; Robert M Jacobson,"Division of Epidemiology, Mayo Clinic, Rochester, Minnesota.; Division of Biomedical Statistics and Informatics, Mayo Clinic, Rochester, Minnesota.",Not found
40622253,Novel Autologous Regulatory T-Cell Therapy Ameliorates DSS-Induced Colitis in Humanized Mice.,2025,Md Jabed Khan; Yoo Jin Lee; Su Yeon Lee; Young Mo Kang,"Preclina Inc., 719 & 1302, Teratower B, 167, Songpa-daero, Songpa-gu, Seoul, South Korea.",Not found
40622083,"Helicobacter pylori infection promotes the formation of the β-catenin/HIF-1α complex, enabling adaptive responses in gastric cancer cells.",2025,Camila García-Navarrete; Ignacio Pezoa-Soto; Jorge Toledo,"Centro de Biología Celular y Biomedicina (CEBICEM), Facultad de Ciencias, Universidad San Sebastian, Santiago, Chile.; Advanced Scientific Equipment Network (REDECA), Facultad de Medicina, Universidad de Chile, Santiago, Chile.",Not found
40622010,Immune-mediated adverse events in the randomized phase 3 TOPAZ-1 study of durvalumab plus gemcitabine and cisplatin in advanced biliary tract cancer.,2025,Juan Cundom; Marielle Holmblad; Magdalena Żotkiewicz; Julie Wang; Nana Rokutanda,"Oncology Biometrics, Late Oncology Statistics, AstraZeneca, Postępu 14, 02-676 Warsaw, Poland.; Oncology R&D, Late-Stage Development, AstraZeneca, 430 East 29 Street, New York, NY 10016, USA.; Oncology R&D, Late-Stage Development, AstraZeneca, 1 Medimmune Way, Gaithersburg, MD 20878-2204, USA.; Instituto de Investigaciones Metabólicas, Libertad 836, C1012AAR Cdad, Buenos Aires, Argentina.",Not found
40621967,[Administration timing may improve the anti-tumor efficacy of immunotherapies].,2025,Annabelle Ballesta,"Inserm U1331, Institut Curie, MINES ParisTech CBIO - Centre de biologie computationnelle, Université Paris-Sciences-Lettres, équipe Pharmacologie des systèmes contre le cancer, Saint-Cloud, France.",Not found
40621483,Immunotherapy in metastatic prostate cancer.,2025,Liam Dwyer; Claudia Leslie; Rhiannon Mellor; Tahlia Scheinberg; Lisa G Horvath,"Chris O'Brien Lifehouse, Camperdown, NSW, Australia.; Chris O'Brien Lifehouse, 119-143 Missenden Road, Camperdown, NSW 2050, Australia.",Not found
40621477,Optimization of lentiviral delivery of barcoded anti-CD20 chimeric antigen receptors into rhesus macaque and human natural killer cells.,2025,Taha B Hayal; Aman A Mulla; Brynn B Duncan; Saanika Joshi; So Gun Hong; Chuanfeng Wu; Cynthia E Dunbar,"Translational Stem Cell Biology Branch, NHLBI, NIH, Bethesda, MD 20892, USA.",Not found
40621457,Editorial: Innovative immunotherapy strategies for enhanced treatment of Hodgkin and non-Hodgkin lymphomas.,2025,Eric Vivier,"Centre d'Immunologie de Marseille-Luminy, Marseille, France.",Not found
40620658,Combining antigen specific T-cells with T-cell engager therapy induces a molecular signature that favors T-cell fitness.,2025,Mathias Oelke; Sojung Kim; Ruipeng Wang; Jack A Ragheb,NexImmune Inc.,Not found
40620423,Nanobody-Based CAR NK Cells for Possible Immunotherapy of Mesothelin,2025,Kyungsoo Ha,"Osong Medical Innovation Foundation, Cheonju 28160, Korea.",Not found
40620080,Impact of culture vessel materials on biomanufacturing of dendritic cell-based immunotherapies in closed systems.,2025,Natalie Fekete,"Alliance for Regenerative Medicine, Washington D.C., USA.",Not found
40619749,JCMM Annual Review on Advances in Biotechnology for the Treatment of Haematological Malignancies: A Review of the Latest In-Patient Developments 2024-2025.,2025,William Vainchenker,"INSERM UMR1287, Villejuif, France.",Not found
40619472,Systematic literature review to identify prognostic factors of efficacy and safety outcomes of chimeric antigen receptor T-Cell therapies in diffuse large B-Cell lymphoma.,2025,Jonas Jost; Umberto Rosato; Sybille Riou; Stefan Walzer; Jörg Mahlich,"MArS Market Access & Pricing Strategy GmbH, Geffelbachstraße 6, 79576, Weil Am Rhein, Germany.; Miltenyi Biomedicine, Friedrich-Ebert-Straße 68, 51429, Bergisch Gladbach, Germany.; Miltenyi Biomedicine, Friedrich-Ebert-Straße 68, 51429, Bergisch Gladbach, Germany. Joerg.Mahlich@gmail.com.",Joerg.Mahlich@gmail.com.
40619160,A General Approach for Sample Size Calculation With Nonproportional Hazards and Cure Rates.,2025,Huan Cheng; Xiaoyun Li,"BeOne Medicines USA, California, USA.",Not found
40618676,Dose optimization in cancer drug development: Review and outcome of a multi-stakeholder workshop.,2025,Axel Glasmacher; Chad Gwaltney; Katrin Rupalla; Harald Weber,"Global Medical Affairs, Pfizer AG, Zug, Switzerland.; Cancer Drug Development Forum (CDDF) asbl, Brussels Life Science Incubator, Clos Chapelle-aux-Champs 30, Bt 1.30.30, 1200 Woluwe Saint Lambert, Belgium; Dep. of Internal Medicine III, Universitätsklinikum Bonn, Venusberg-Campus 1, Bonn 53127, Germany. Electronic address: glasmacher@uni-bonn.de.; Gwaltney Consulting, Westerly, RI, USA.; Johnson & Johnson Innovative Medicine, 1125 Harbourton Rd, Titusville, NJ 08560, USA.",glasmacher@uni-bonn.de.
40618511,Effectorless Fc-fusion improves FLT3L drug-like properties for cancer immunotherapy combinations.,2025,Meredith McLerie; Matt Betzenhauser; Wendy Sandoval,"Discovery Biology, Curia Global Inc., Buffalo, NY, 14203, USA.",Not found
40617755,Best original research presented at the 26th European Congress on Gynaecological Oncology: Best of ESGO 2025.,2025,Nicolò Bizzarri; Andrea Rosati; Valentina Ghirardi; David Viveros-Carreño,"IRCCS, Fondazione Policlinico Universitario A Gemelli, del Bambino e di Sanità Pubblica, Dipartimento di Scienze della Salute della Donna, UOC Ginecologia Oncologica, Rome, Italy.; Cáncer Luis Carlos Sarmiento Angulo (CTIC) and Clínica Universitaria Colombia, Centro de Tratamiento e Investigación sobre Bogotá, Gynecologic Oncologist, Bogotá, Colombia.",Not found
40617630,REMOVED: Allogeneic Hematopoietic Cell Transplantation with Briquilimab (JSP191) Anti-CD117 Antibody-Based Nonmyeloablative Conditioning for GATA2 Deficiency.,2025,Wendy W Pang,"Jasper Therapeutics, Inc., Redwood City, CA.",Not found
40616158,Development of lactation and breast/chestfeeding adverse event terminology (LaBAET) through a Delphi consensus approach.,2025,Anna Gonciarz-Dytman; Joanna Kozakiewicz,"Pfizer Polska Sp. Z O.O, Warsaw, Poland.; IBCLC Private Practice, Wroclaw, Poland.",Not found
40615690,Pan-RAS inhibitors and polo-like kinase 1: promising targets in colorectal cancer.,2025,Andrew Elliott,"Caris Life Sciences, Phoenix, AZ, USA.",Not found
40615537,The role of regulatory B cell/T follicular helper cell balance in thymoma and thymoma-associated myasthenia gravis.,2025,Huan Wang,"Population and Precision Health Care Ltd, Tianjin, China.",Not found
40615439,MelanoDB: A dataset of clinical and molecular features of patients with advanced melanoma treated with MAPK inhibitors.,2025,Sarah Dandou; Jérôme Solassol; Eric Richard; Stanislas Du Manoir; Alain Mangé; Peter J Coopman; Ovidiu Radulescu; Romain M Larive,"LPHI, Université de Montpellier, CNRS, Montpellier, France.; IRCM, Université de Montpellier, ICM, Inserm, Montpellier, France.; IRCM, Université de Montpellier, ICM, Inserm, Montpellier, France. romain.larive@umontpellier.fr.",romain.larive@umontpellier.fr.
40614118,Administration of nivolumab plus ipilimumab: Infusion of the fixed-ratio combination versus sequential infusions in two randomized controlled trials of metastatic melanoma (CheckMate 742) and renal cell carcinoma (CheckMate 800).,2025,Pamela Salman; Osvaldo Arén Frontera; Craig Gedye; Bijoy Telivala; Jean-Jacques Grob; Eve-Marie Neidhardt; Anila Qureshi; Fareeda Hosein; Lora Hamuro; Burcin Simsek,"Bristol Myers Squibb, Princeton, New Jersey, USA.; Hôpital de la Timone, Marseille, France.; Calvary Mater Newcastle, Waratah, New South Wales, Australia.; Centro Investigación Clínica Bradford Hill, Santiago, Chile.; Cancer Specialists of North Florida, Jacksonville, Florida, USA.; Centre Léon Bérard, Lyon, France.; Fundación Arturo López Pérez, Santiago, Chile.",Not found
40614037,"Editorial special issue: Frontiers in cancer, obesity and metabolism.",2025,Miguel Burgos,"CIBERobn, Physiopathology of Obesity and Nutrition, Centre of Biomedical Research Network, Madrid, Spain. mburgosloz@unav.es.",mburgosloz@unav.es.
40612509,Bispecific targeting of 4-1BB and CCR8 boosts antitumor immunity via Ti-Treg depletion and CD8,2025,Zhiyang Ling; Chunyan Yi,"Hiwisdom Company Limited, Shanghai 201210, China.",Not found
40612249,Fibroblast-directed PET imaging reveals a case of retroperitoneal fibrosis after immunotherapy for metastatic urothelial cancer of the upper tract.,2025,L Gallardo Zamora; F C von Rundstedt; C Wach; W P Fendler; I Maric; K Herrmann; J T Siveke; P F-Y Cheung; V Grünwald,"Universitätsklinikum Essen, Essen, Germany.; Universitätsklinikum Wuppertal, Wuppertal, Germany.",Not found
40610725,Prevalence and biological impact of clinically relevant gene fusions in head and neck cancers.,2025,Wilnelly M Hernandez-Sanchez; Michelle Churchman,"Caris Life Sciences, Irving, TX, USA.; Aster Insights, Tampa, FL, USA.",Not found
40610432,Immune correlates of anti-BCMA CAR-T products idecabtagene vicleucel and ciltacabtagene autoleucel in a real-world cohort of patients with multiple myeloma.,2025,Dina Schneider; Peirong Hu; Xu Wang,"Lentigen Technology Inc., a Miltenyi Biotec Company, Gaithersburg, MD, USA.",Not found
40610421,Tumor site-directed A1R expression enhances CAR T cell function and improves efficacy against solid tumors.,2025,Kevin Sek; Amanda X Y Chen; Thomas Cole; Junming Tong; Kah Min Yap; Isabelle Munoz; Phoebe A Dunbar; Shiyi Wu; Marit J van Elsas; Olivia Hidajat; Christina Scheffler; Lauren Giuffrida; Melissa A Henderson; Deborah Meyran; Dat Nguyen; Yu-Kuan Huang; Maria N de Menezes; Emily B Derrick; Cheok Weng Chan; Kirsten L Todd; Jack D Chan; Jasmine Li; Junyun Lai; Emma V Petley; Sherly Mardiana; Ian A Parish; Imran G House; Phillip K Darcy; Paul A Beavis,"Cancer Immunology Program, Peter MacCallum Cancer Centre, Melbourne, VIC, Australia. phil.darcy@petermac.org.; Cancer Immunology Program, Peter MacCallum Cancer Centre, Melbourne, VIC, Australia. kevin.sek@petermac.org.; Cancer Immunology Program, Peter MacCallum Cancer Centre, Melbourne, VIC, Australia. paul.beavis@petermac.org.; Cancer Immunology Program, Peter MacCallum Cancer Centre, Melbourne, VIC, Australia.",kevin.sek@petermac.org.
40610404,CAR-T cell therapy for cancer: current challenges and future directions.,2025,Manel Juan,"Red Española de Terapias Avanzadas (TERAV), Instituto de Salud Carlos III, Madrid, Spain.",Not found
40610398,Interleukin-35 impairs human NK cell effector functions and induces their ILC1-like conversion with tissue residency features.,2025,Laurie Tonon; Cyril Degletagne; Emily Sible; Anthony Ferrari,"Synergie-Lyon-Cancer Fundation, Centre Léon Bérard, Lyon, France.; Centre International de Recherche en Infectiologie, CIRI, INSERM U1111, Lyon, France.; Genomic platform, Centre de Recherche en Cancérologie de Lyon, INSERM U1052, CNRS UMR5286, Université de Lyon, Université Lyon 1, Centre Léon Bérard, Lyon, France.",Not found
40609842,"Low-dose radiotherapy concurrent with atezolizumab and chemotherapy as first-line treatment for extensive-stage small-cell lung cancer: 3-year follow-up of a multicenter, single-arm, phase 2 trial (MATCH).",2025,Yao Chen,"Medical Affairs, Shanghai Roche Pharmaceuticals Ltd., Shanghai, China.",Not found
40609632,Allosteric Antibody Modulation of EGFR Activity: Bridging Experiment and in silico Modeling.,2025,Stefan Becker; Enrico Guarnera,"Antibody Discovery and Protein Engineering, Merck Healthcare KGaA, Darmstadt, Germany. Electronic address: enrico.guarnera@merckgroup.com.; Antibody Discovery and Protein Engineering, Merck Healthcare KGaA, Darmstadt, Germany.",enrico.guarnera@merckgroup.com.
40608341,Pathologist-Read vs AI-Driven Assessment of Tumor-Infiltrating Lymphocytes in Melanoma.,2025,Saeed Nourmohammadi; Christos Poulios,"Mayo Clinic, Scottsdale, Arizona.; European Society of Pathology, Brussels, Belgium.",Not found
40608313,Nivolumab and Ipilimumab Combination Treatment in Advanced Ovarian and Endometrial Clear Cell Cancers: A Nonrandomized Clinical Trial.,2025,Craig Underhill,"Albury-Wodonga Regional Cancer Centre, Albury-Wodonga, Australia.",Not found
40608255,Opiorphin and neuropathic pain: a promising treatment approach?,2025,Mario García-Domínguez,"Program of Immunology and Immunotherapy, CIMA-Universidad de Navarra, Pamplona, Spain. mgdom@unav.es.",mgdom@unav.es.
40608208,HER2-Positive Urothelial Carcinoma: Current Evidence on Targeted Agents and Immunotherapy-Based Combinations.,2025,Mimma Rizzo,"Division of Medical Oncology, Azienda Ospedaliero-Universitaria Consorziale Policlinico di Bari, Piazzale G. Cesare 11, 70124, Bari, Italy. rizzo.mimma@gmail.com.",rizzo.mimma@gmail.com.
40607422,Colorectal cancer-infiltrating NK cell landscape analysis unravels tissue-resident PD-1,2025,Tania Buttiron Webber; Laura Paleari; Matteo Clavarezza; Andrea DeCensi,"Division of Medical Oncology, E.O. Ospedali Galliera, Genoa, Italy.; ALiSa, Liguria Health Authority, Genoa, Italy.",Not found
40607376,Using technology for patient-centered care at home after CAR T-cell therapy or stem cell transplant: a prospective feasibility study.,2025,Bellinda K Conte; Rachel K Brahler,"Reimagine Care, Inc., Nashville, TN, United States.",Not found
40606778,Next-Generation HER-2 Tumor-Targeted Delivery of the STING Agonist Immune-Stimulating Antibody Conjugate (ISAC) Improves Anticancer Efficacy and Induces Immunological Memory.,2025,Shengtao Yao; Yu Liu; Guanghao Wu,"Shanghai SPH Jiaolian Pharmaceutical Technology Co., Ltd. Shanghai China.",Not found
40606029,Long sustained response during second-line pembrolizumab plus lenvatinib in a patient with recurrent endometrial carcinoma: a case report.,2025,Claudio Zamagni,"IRCCS Azienda Ospedaliero-Universitaria di Bologna, Italy.",Not found
40606027,Sustained disease control with pembrolizumab-lenvatinib in a patient with heavily pre-treated recurrent endometrial carcinoma: a case report.,2025,Alessia Lancianese; Elena Maccaroni; Laura Zepponi; Riccardo Giampieri; Rossana Berardi,"Oncologia Medica, Azienda Ospedaliero Universitaria delle Marche, Ancona, Italy.; Oncologia Medica, Università Politecnica delle Marche, Ancona, Italy.",Not found
40605558,Peroxidase-Inspired Polyphthalocyanine Networks with Highly Efficient Sonocatalytic Activities for On-Demand Tumor Immunotherapies in Breast Cancers.,2025,Tao Jiang,"Hangzhou Huamai Medical Technology Co., Ltd., Hangzhou 310052, China.",Not found
40604454,Co-designing a shared digital decision aid for HPV vaccination in French general practice.,2025,Amandine Gagneux-Brunon; Morgane Michel; Judith E Mueller; Nathalie Thilly,"Université Paris Cité, ECEVE UMR 1123, Paris, France.; CIC-INSERM 1408, CHU de Saint-Etienne, Saint-Etienne, France.; Université de Lorraine, Inserm, INSPIIRE FR, Metz, France.; Institut Pasteur, Université Paris Cité, Emerging Disease Epidemiology Unit, Paris, 75015, France.",Not found
40604285,Rewiring endogenous genes in CAR T cells for tumour-restricted payload delivery.,2025,Amanda X Y Chen; Kah Min Yap; Joelle S Kim; Kevin Sek; Yu-Kuan Huang; Phoebe A Dunbar; Isabelle Munoz; Kirsten L Todd; Emily B Derrick; Dat Nguyen; Junming Tong; Cheok Weng Chan; Thang X Hoang; Katherine M Audsley; Marit J van Elsas; Jim Middelburg; Joel N Lee; Maria N de Menezes; Thomas J Cole; Jasmine Li; Christina Scheffler; Jane Oliaro; Ian A Parish; Junyun Lai; Imran G House; Phillip K Darcy; Paul A Beavis,"Cancer Immunology Program, Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia. Paul.beavis@petermac.org.; Cancer Immunology Program, Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia. Phil.darcy@petermac.org.; Cancer Immunology Program, Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia. kahmin.yap@petermac.org.; Cancer Immunology Program, Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia. Amanda.chen@petermac.org.; Cancer Immunology Program, Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia.",Amanda.chen@petermac.org.
40602317,Integrated computational pipeline for advanced sampling-based investigation and alternative inhibition of the programmed cell death protein I pathway.,2025,Aline Albuquerque,"Structural and Functional Biology in Biopharmaceuticals Group - Fiocruz Ceará, 61760-000, Eusébio, Brazil.",Not found
40602296,Performance of conventional MRI and endoscopy in assessing complete tumor response following immunotherapy-based neoadjuvant therapy for rectal cancer.,2025,Tianyong Xu,"GE Healthcare, MR Modality, Beijing, China.",Not found
40601888,Tumor-Intrinsic and Microenvironmental Determinants of Impaired Antitumor Immunity in Chromophobe Renal Cell Carcinoma.,2025,Yue Hou; Jackson Nyman; Kevin Meli; J Connor Wells,"RBC Capital Markets, New York, NY.; Akoya Biosciences Inc, Marlborough, MA.; PathAI, Inc, Boston, MA.; BC Cancer Agency, Vancouver, Canada.",Not found
40601881,Assessment of Functional Status of Human Leukocyte Antigen Class I Genes in Cancer Tissues in the Context of Personalized Neoantigen Peptide Vaccine Immunotherapy.,2025,Vijay G Padul; Nupur Biswas; Mini Gill; Shashanka Ashili,"Rhenix Lifesciences, Hyderabad, India.; CureScience, San Diego, CA.",Not found
40600230,Molecular Insights into Gastric Cancer: A Comparative Analysis of Asian and White Populations.,2025,Roy Khalife,"Protean BioDiagnostics, Orlando, FL, U.S.A.",Not found
40599346,Clinical landscape for patients with head and neck cancers enrolled in phase I trials at a tertiary referral center.,2025,Alexandro Paccapelo,"Research and Innovation Unit, IRCCS Azienda Ospedaliero-Universitaria di Bologna, Bologna, Italy.",Not found
40599321,Spatial transcriptomic analysis of immune checkpoint blockade response in triple negative breast cancers with tertiary lymphoid structures.,2025,Sandra Demaria,"Radiation Oncology, Weill Cornell Medicine, New York, NY, USA.",Not found
40598933,Covalent Targeting Leads to the Development of a LIMK1 Isoform-Selective Inhibitor.,2025,Niall Prendiville; María Baena-Nuevo; Ana Corrionero; Patricia Alfonso,"Enzymlogic, Qube Technology Park, C/Santiago Grisolía, 2, 28760 Madrid, Spain.",Not found
40598513,Targeted-theranostic nanoparticles induce anti-tumor immune response in lung cancer.,2025,Fabien Rossetti; Eder Jose Guidelli; Mileni Isikawa; Sandrine Dufort; Olivier Tillement; François Lux,"NH TherAguix SA, Meylan, 38240, France.; Université Claude Bernard Lyon 1, CNRS, Institut Lumière Matière, Villeurbanne, 69100, France.; Departamento de Física-Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto, Universidade de São Paulo, Ribeirão Preto, São Paulo, 14040- 901, Brazil.",Not found
40598415,Aurantio-obtusin modulates Wilms Tumour 1 within the breast tumour microenvironment reducing immunosuppression and tumour growth.,2025,Paul G Loftus; Stephen J Elliman,"Orbsen Therapeutics Ltd., Galway Business Park, Galway, Ireland.",Not found
40598348,CAR-T cells targeting CCR9 and CD1a for the treatment of T cell acute lymphoblastic leukemia.,2025,María José Mansilla; Alba Garcia-Perez; Juan Alcain; Marina García-Peydró; Europa Azucena González; Jordi Minguillón; Antonio Pérez-Martínez; Manuel Ramírez-Orellana; Víctor M Díaz; María L Toribio,"Red Española de Terapias Avanzadas (TERAV+), Instituto de Salud Carlos III, Madrid, Spain.; OneChain Immunotherapeutics S.L, Barcelona, Spain.; Centro de Biología Molecular Severo Ochoa CSIC-UAM, Madrid, Spain.; Centro de Biología Molecular Severo Ochoa CSIC-UAM, Madrid, Spain. mtoribio@cbm.csic.es.",mtoribio@cbm.csic.es.
